State/UTs,Confirmed,Active,Recovered,Deceased,latitude,longitude
Andaman and Nicobar,163,70,93,0,11.66702557,92.7398262
Andhra Pradesh,29168,13428,15412,328,14.7504291,78.57002559
Arunachal Pradesh,359,219,138,2,27.10039878,93.61660071
Assam,16071,5610,10426,35,26.7499809,94.21666744
Bihar,16642,5001,11498,143,25.78541445,87.4799727
Chandigarh,559,134,417,8,30.71999697,76.78000565
Chhattisgarh,4059,887,3153,19,22.09042035,82.15998734
Dadra and Nagar Haveli,479,234,245,0,20.26657819,73.0166178
Delhi,112494,19155,89968,3371,28.6699929,77.23000403
Goa,2453,952,1487,14,15.491997,73.81800065
Gujarat,41820,10613,29162,2045,23.23756,72.647781
Haryana,21240,4956,15983,301,28.45000633,77.01999101
Himachal Pradesh,1213,273,929,11,31.10002545,77.16659704
Jammu and Kashmir,10513,4355,5979,179,34.29995933,74.46665849
Jharkhand,3756,1418,2308,30,23.80039349,86.41998572
Karnataka,38843,22750,15409,684,12.57038129,76.91999711
Kerala,7873,3747,4095,31,8.900372741,76.56999263
Ladakh,1086,157,928,1,34.209515,77.615112
Lakshadweep,0,0,0,0,10.56257331,72.63686717
Madhya Pradesh,17632,4103,12876,653,21.30039105,76.13001949
Maharashtra,254427,103813,140325,10289,19.25023195,73.16017493
Manipur,1609,713,896,0,24.79997072,93.95001705
Meghalaya,306,238,66,2,25.57049217,91.8800142
Mizoram,231,81,150,0,23.71039899,92.72001461
Nagaland,774,447,327,0,25.6669979,94.11657019
Odisha,13121,4307,8750,64,19.82042971,85.90001746
Puducherry,1418,661,739,18,11.93499371,79.83000037
Punjab,7821,2230,5392,199,31.51997398,75.98000281
Rajasthan,24392,5779,18103,510,26.44999921,74.63998124
Sikkim,153,72,81,0,27.3333303,88.6166475
Tamil Nadu,138470,46972,89532,1966,12.92038576,79.15004187
Telengana,34671,11833,22482,356,17.38714,78.491684
Tripura,2054,631,1421,2,23.83540428,91.27999914
Uttar Pradesh,36476,12208,23334,934,27.59998069,78.05000565
Uttarakhand,3537,704,2786,47,30.32040895,78.05000565
West Bengal,30013,10500,18581,932,22.58039044,88.32994665
